year,package,n,P_R,P_P,P_O,P_B,S_C,S_W,PR_ids,broad_plan_n
2018,jama.2017.21906,6,2,0,0,0,1,3,"C004,C006",2
2018,jama.2018.0156,8,2,0,0,0,1,5,"C007,C008",2
2018,jama.2018.0948,7,1,4,0,2,0,0,C001,7
2018,jama.2018.14280,23,1,0,0,0,1,21,C023,1
2018,jama.2018.14282,28,0,3,0,0,1,24,,3
2018,jama.2018.17075,8,0,0,0,0,2,6,,0
2018,jama.2018.18020,14,0,0,0,0,0,14,,0
2018,jama.2018.6496,4,2,0,0,0,0,2,"C003,C004",2
2018,jama.2018.8802,8,1,0,0,0,1,6,C002,1
2018,jama.2018.9128,13,2,2,0,0,9,0,"C011,C012",4
2019,jama.2019.0556,9,1,3,0,0,1,4,C007,4
2019,jama.2019.10517,3,0,1,0,0,1,1,,1
2019,jama.2019.12618,8,2,1,0,0,1,4,"C003,C004",3
2019,jama.2019.14231,11,1,0,0,0,1,9,C001,1
2019,jama.2019.14630,9,0,0,0,0,4,5,,0
2019,jama.2019.14901,6,1,1,0,0,1,3,C002,2
2019,jama.2019.17380,7,1,0,0,0,3,3,C007,1
2019,jama.2019.2210,9,2,2,0,0,1,4,"C004,C008",4
2019,jama.2019.4755,5,0,1,0,0,0,4,,1
2019,jama.2019.7505,4,0,1,0,0,0,3,,1
2024,jama.2024.0318,6,0,0,0,0,2,4,,0
2024,jama.2024.0572,2,0,0,0,0,1,1,,0
2024,jama.2024.11057,3,1,0,0,0,0,2,C001,1
2024,jama.2024.12829,17,1,2,0,0,1,13,C009,3
2024,jama.2024.19585,3,0,0,0,0,1,2,,0
2024,jama.2024.2302,5,4,1,0,0,0,0,"C001,C003,C004,C005",5
2024,jama.2024.23898,7,5,0,0,0,0,2,"C001,C002,C003,C004,C007",5
2024,jama.2024.25786,8,0,0,0,0,3,5,,0
2024,jama.2024.4183,24,0,3,0,0,5,16,,3
2024,jama.2024.6063,16,0,0,0,0,5,11,,0
2025,jama.2024.24764,8,3,0,0,0,0,5,"C006,C007,C008",3
2025,jama.2024.27643,8,0,0,0,0,6,2,,0
2025,jama.2025.11178,37,0,0,0,0,2,35,,0
2025,jama.2025.15185,12,0,0,0,0,7,5,,0
2025,jama.2025.15440,2,0,0,0,0,0,2,,0
2025,jama.2025.16450,10,4,1,2,0,0,3,"C002,C003,C007,C008",7
2025,jama.2025.19563,7,1,0,0,0,1,5,C001,1
2025,jama.2025.19843,1,0,0,0,0,1,0,,0
2025,jama.2025.20765,13,1,9,0,0,1,2,C013,10
2025,jama.2025.24175,14,4,1,0,5,0,4,"C002,C003,C004,C009",10
2025,jama.2025.4390,3,0,0,0,0,0,3,,0
2025,jama.2025.7583,3,1,1,0,0,0,1,C001,2
2025,jama.2025.7710,4,1,3,0,0,0,0,C004,4
2025,jama.2025.9110,6,0,0,0,0,0,6,,0
2025,jama.2025.9663,3,0,1,0,0,0,2,,1
